title,link,root cause,bug-triggering pattern
Potential indexing issues in compile for large tensors,https://github.com/pytorch/pytorch/issues/154168,Incorrect Kernel Code Generation,Boundary-Value Input
[Inductor] Output discrepancy between Inductor and eager of mean with input of a large size tensor,https://github.com/pytorch/pytorch/issues/154703,Incorrect Kernel Code Generation,Boundary-Value Input
In-place operations are reordered across the forward-backward in autograd function,https://github.com/pytorch/pytorch/issues/154820,Broken Aliasing and Mutation Semantics,Aliased Mutation
Partitioner loses Inplace ops where source is constant,https://github.com/pytorch/pytorch/issues/155242,Broken Aliasing and Mutation Semantics,Non-Tensor Construct
torch.compile produces incorrect output,https://github.com/pytorch/pytorch/issues/155690,Broken Aliasing and Mutation Semantics,Aliased Mutation
[MPSInductor] Silently incorrect result with varmean+epilogue,https://github.com/pytorch/pytorch/issues/156426,Incorrect Kernel Code Generation,Environment-Dependent
"[inductor] [cpu] cpu inductor incorrectly processes `.to(torch.uint8)`, resulting in numerical inconsistency",https://github.com/pytorch/pytorch/issues/156788,Incorrect Operand Type-Promotion,Boundary-Value Input
"The opp is not compatible with compile mode=""reduce-overhead"" and linear layers for large inputs.",https://github.com/pytorch/pytorch/issues/157363,External Dependency and Toolchain Misuse,Environment-Dependent
torch.compile with numpy code differs from numpy's behavior,https://github.com/pytorch/pytorch/issues/157569,External Dependency and Toolchain Misuse,Environment-Dependent
Torch compile don't work correctly with divide by scalar,https://github.com/pytorch/pytorch/issues/157959,Incorrect Operator Decomposition,Parameterized Operator
`torch.compile(nn.ModuleList())` changes `bool()` behavior,https://github.com/pytorch/pytorch/issues/159139,Unfaithful Program Tracing,Non-Tensor Construct
`torch.compile` generates wrong code that leads to corrupted memory,https://github.com/pytorch/pytorch/issues/159154,Incorrect Layout Propagation,Optimization-Triggering Sequence
"_grouped_mm with mode=""max-autotune"" gives bad output",https://github.com/pytorch/pytorch/issues/159378,Incorrect Kernel Code Generation,Parameterized Operator
torch compile produces nans with GQA,https://github.com/pytorch/pytorch/issues/159469,Incorrect Operand Type-Promotion,Optimization-Triggering Sequence
[compile] Correctness and reproducibility issue,https://github.com/pytorch/pytorch/issues/159855,Unsound Graph Optimization,No minimal reproducer
[dynamo] traced autograd.Function silently incorrect due to bad requires_grad propagation,https://github.com/pytorch/pytorch/issues/160901,Unfaithful Program Tracing,Non-Tensor Construct
torch.compile doesn't preserve stride with clone(memory_format=torch.preserve_format),https://github.com/pytorch/pytorch/issues/161010,Incorrect Layout Propagation,Layout-Constraint Chain
`neg` + `add` computation including `uint` tensor is incorrect under inductor,https://github.com/pytorch/pytorch/issues/161763,Incorrect Operand Type-Promotion,Boundary-Value Input
the `index_put_` is not working as expected under torch.compile,https://github.com/pytorch/pytorch/issues/162146,Broken Aliasing and Mutation Semantics,Aliased Mutation
Backpropagation to flex_attention `score_mod` biases fails based on presence of graph breaks,https://github.com/pytorch/pytorch/issues/162228,Unfaithful Program Tracing,Non-Tensor Construct
incorrect fusion cause numerical issue,https://github.com/pytorch/pytorch/issues/162410,Unsound Graph Optimization,Optimization-Triggering Sequence
torch.nn.functional.normalize outputs vectors with norm>1 with torch.compile + cuda,https://github.com/pytorch/pytorch/issues/163082,External Dependency and Toolchain Misuse,Boundary-Value Input
[Fuzzer][Eager/Compile Divergence] 8+% numerical difference between eager and compile,https://github.com/pytorch/pytorch/issues/163449,Incorrect Operator Decomposition,Mixed-dtype Operands
torch.compile don't work with searchsorted,https://github.com/pytorch/pytorch/issues/163528,Incorrect Operator Decomposition,Parameterized Operator
[inductor] `argmax` outputs wrong when working on transposed and mutated matrix,https://github.com/pytorch/pytorch/issues/163929,Incorrect Layout Propagation,Layout-Constraint Chain
Dynamo cache bug create_block_mask,https://github.com/pytorch/pytorch/issues/164608,Faulty Symbolic-Variable Resolving,No minimal reproducer
torch.compile miscompilation when copying from and saving to a state tensor in the same fused kernel,https://github.com/pytorch/pytorch/issues/164701,Broken Aliasing and Mutation Semantics,Aliased Mutation
torch.full give wrong result with torch.compile and dtype=torch.float64,https://github.com/pytorch/pytorch/issues/166253,Faulty Symbolic-Variable Resolving,Stateful Re-execution
`torch.compile` produces different VJP gradients from eager mode in `float16`,https://github.com/pytorch/pytorch/issues/167205,Incorrect Operand Type-Promotion,Mixed-dtype Operands
[Bug][Inductor] `addmm -> add(mm)` ignores parameters `alpha/beta`,https://github.com/pytorch/pytorch/issues/167313,Incorrect Operator Decomposition,Parameterized Operator
[inductor] User-defined Triton kernel output + .cpu() correctness issue,https://github.com/pytorch/pytorch/issues/168181,Broken Aliasing and Mutation Semantics,Aliased Mutation
torch.compile / Inductor changes torch.index_select output layout from contiguous (eager) to non-contiguous,https://github.com/pytorch/pytorch/issues/168381,Incorrect Layout Propagation,Layout-Constraint Chain
[Inductor] ROCm combo kernels produce incorrect scalar results due to missing store masks,https://github.com/pytorch/pytorch/issues/168937,Incorrect Kernel Code Generation,Optimization-Triggering Sequence
[dynamo] Incorrect handling of functools.partial as dict key,https://github.com/pytorch/pytorch/issues/169010,Unfaithful Program Tracing,Non-Tensor Construct
bound_sympy does wrong analysis for pythonmod,https://github.com/pytorch/pytorch/issues/169602,Faulty Symbolic-Variable Resolving,Non-Tensor Construct
MPS compile off by 2x with broadcast and sum,https://github.com/pytorch/pytorch/issues/170360,Incorrect Kernel Code Generation,Environment-Dependent
[BUG][Inconsistency]aten.__upsample_nearest gives different results on Inductor vs Eager with bfloat16,https://github.com/pytorch/pytorch/issues/170682,Incorrect Operator Decomposition,Parameterized Operator
TorchInductor returns wrong output shape for aten.isin with scalar input,https://github.com/pytorch/pytorch/issues/171262,Incorrect Operator Decomposition,Parameterized Operator
[Inconsistency] aten.view_copy produces inconsistent output shapes between eager and inductor,https://github.com/pytorch/pytorch/issues/171366,Incorrect Operator Decomposition,Parameterized Operator
[PowerPC] Fix strict-aliasing bug in VecMask causing incorrect argmax in compile mode,https://github.com/pytorch/pytorch/pull/171836,External Dependency and Toolchain Misuse,No minimal reproducer
TorchInductor benchmark accuracy check failing for some models in 2.10,https://github.com/pytorch/pytorch/issues/172015,Incorrect Kernel Code Generation,No minimal reproducer
"The torch.isin result of eager and torch.compile are inconsistent on CPU, CUDA and XPU",https://github.com/pytorch/pytorch/issues/172529,Incorrect Operator Decomposition,Parameterized Operator
UserDefinedTuple equality does not match eager mode,https://github.com/pytorch/pytorch/issues/172666,Unfaithful Program Tracing,Non-Tensor Construct
